screen_name,description,statuses_count,friends_count,followers_count,account_age_days,average_tweets
EnricoLetta,"Segretario del Partito Democratico @pdnetwork, Presidente @DelorsInstitute.",18279,14104,722299,3949,4.63
GiuseppeConteIT,Giurista e Avvocato. Professore ordinario di diritto privato. PapÃ  di NiccolÃ². Presidente del Movimento 5 Stelle.,2291,138,1134921,1575,1.45
luigidimaio,Ministro degli Affari Esteri e della Cooperazione Internazionale. Capo Politico di Impegno Civico.,7185,331,776440,4838,1.49
matteorenzi,Senatore di Firenze - @ItaliaViva,14040,979,3373484,4998,2.81
GiorgiaMeloni,"Romana, classe '77. Politica e giornalista. Sempre, ovunque e prima di tutto, italiana. Presidente di @FratellidItalia e di @ECRParty",19702,927,1272567,4544,4.34
matteosalvinimi,Leader della Lega #25settembrevotoLega ðŸ‡®ðŸ‡¹,54047,2007,1495439,4194,12.89
CarloCalenda,"@Azione_it - ""Un uomo che non si interessa dello Stato noi non lo consideriamo innocuo, ma inutile"". La libertÃ  che non libera: https://t.co/dYBNv1Rv6p",34893,162,409522,3093,11.28
berlusconi,Presidente Forza Italia. Eurodeputato Gruppo del Partito Popolare Europeo.,5270,67,224332,1794,2.94
civati,,57335,6375,409241,5303,10.81
NFratoianni,"segretario nazionale di Sinistra Italiana, domani chi lo sa...perÃ² sarÃ² per sempre uno di quelli che nel luglio 2001 erano a Genova",62943,2014,65863,3941,15.97
AngeloBonelli1,ecologista... ci ho provato...e ci provo . Europa Verde,16524,860,9864,3941,4.19
emmabonino,Senator; ECFR co-chair; Former Italian Minister of Foreign Affairs; former EU Commissioner,2615,340,241248,4619,0.57
